"name"                         ,"ra"          ,"dec"         ,"alt"                 ,"az"
"AR And"                       ,"26.26250000" ,"37.94250000" ,"4.3209220916702495"  ,"31.46376936086883"
"DX And"                       ,"352.44166667","43.75111111" ,"82.08158948761951"   ,"231.7237572558068"
"EG And"                       ,"11.15416667" ,"40.67916667" ,"30.66172651307026"   ,"298.2307102035586"
"FN And"                       ,"17.98750000" ,"35.29000000" ,"72.60573619347076"   ,"136.59223893517432"
"FO And"                       ,"18.88333333" ,"37.62638889" ,"66.85012288216542"   ,"108.8729501415147"
"LS And"                       ,"8.04166667"  ,"41.96972222" ,"9.33133695500964"    ,"327.5616336652825"
"PQ And"                       ,"37.37083333" ,"40.04416667" ,"50.894192355566375"  ,"278.0202737438072"
"RX And"                       ,"16.14583333" ,"41.29916667" ,"78.02980626813262"   ,"234.86496503819845"
"Z And"                        ,"353.41250000","48.81805556" ,"86.08481708203682"   ,"90.41673257509109"
"DH Aql"                       ,"291.54166667","-9.74222222" ,"-46.615083093534544" ,"32.68788646307407"
"FO Aql"                       ,"289.15833333","0.12694444"  ,"-20.324609942971794" ,"64.55164474361078"
"KX Aql"                       ,"293.47083333","14.29638889" ,"-26.4148746363673"   ,"352.610261016943"
"UU Aql"                       ,"299.32500000","-8.67750000" ,"-3.5205722904986594" ,"260.8146525424886"
"V0603 Aql"                    ,"282.22500000","0.58388889"  ,"39.13224872557962"   ,"156.33812399344941"
"V0725 Aql"                    ,"299.18750000","10.82555556" ,"9.829763031349207"   ,"275.2344418176425"
"V1413 Aql"                    ,"285.94166667","16.43805556" ,"22.841072709487463"  ,"90.94596281005015"
"VY Aqr"                       ,"318.03750000","-7.17333333" ,"-46.22104447729698"  ,"337.72501442677384"
"VZ Aqr"                       ,"322.60000000","-1.01194444" ,"-4.8516588999793475" ,"274.05001942865135"
"SV Ari"                       ,"51.26250000" ,"19.83111111" ,"-17.292142416991663" ,"25.880509900136087"
"TT Ari"                       ,"31.72083333" ,"15.29472222" ,"-16.35387869476545"  ,"319.1647737729461"
"SS Aur"                       ,"93.34166667" ,"47.74027778" ,"48.2271429198152"    ,"66.07424477463664"
"TT Boo"                       ,"224.43333333","40.72777778" ,"10.447096657339655"  ,"323.05165872223716"
"UZ Boo"                       ,"221.00416667","22.01500000" ,"-18.984831917711436" ,"0.16965669279569526"
"AF Cam"                       ,"53.06250000" ,"58.78944444" ,"17.7909796479272"    ,"359.6179961452317"
"Z Cam"                        ,"126.30416667","73.11083333" ,"32.84033969292084"   ,"353.4286962263214"
"AM Cas"                       ,"36.59583333" ,"71.30861111" ,"53.0747683467304"    ,"330.7621922653082"
"GX Cas"                       ,"12.25416667" ,"56.87861111" ,"48.26953719554337"   ,"308.9103109070224"
"HT Cas"                       ,"17.55000000" ,"60.07666667" ,"78.00742229663425"   ,"19.555524726437618"
"KU Cas"                       ,"22.75833333" ,"57.90333333" ,"41.51566236425099"   ,"45.07363667760298"
"V0630 Cas"                    ,"357.21250000","51.46083333" ,"50.913757206027405"  ,"61.65634055327949"
"WW Cet"                       ,"2.85000000"  ,"-10.52138889","-42.993149492156945" ,"46.21537324850079"
"AL Com"                       ,"188.10416667","14.34527778" ,"38.74836965621601"   ,"116.03877397902137"
"T CrB"                        ,"239.87500000","25.92000000" ,"11.435794276107703"  ,"63.444322849970085"
"TX CVn"                       ,"191.17500000","36.76388889" ,"25.45459875340092"   ,"62.43231778304572"
"BF Cyg"                       ,"290.97083333","29.67472222" ,"-6.697594052678567"  ,"26.505218891999622"
"CH Cyg"                       ,"291.13750000","50.24138889" ,"12.140188196993336"  ,"17.990798055325527"
"EM Cyg"                       ,"294.66666667","30.50777778" ,"-7.476624798346018"  ,"338.6544001244562"
"EY Cyg"                       ,"298.65000000","32.36527778" ,"20.550595527206486"  ,"296.1132288512842"
"Q Cyg"                        ,"325.42916667","42.84138889" ,"52.87338544572256"   ,"281.3954971923994"
"SS Cyg"                       ,"325.67500000","43.58583333" ,"55.5970448963459"    ,"280.3727557391247"
"V0404 Cyg"                    ,"306.01250000","33.86722222" ,"71.24101441085973"   ,"138.2276975965631"
"V0476 Cyg"                    ,"299.60000000","53.61833333" ,"41.82825377703093"   ,"308.1183676273494"
"V0503 Cyg"                    ,"306.82083333","43.68944444" ,"70.68464098138341"   ,"95.68058866219289"
"V0516 Cyg"                    ,"311.78750000","41.92388889" ,"23.972244227808996"  ,"52.911459262927885"
"V0542 Cyg"                    ,"297.29166667","58.53305556" ,"29.62656946845848"   ,"327.2906361702743"
"V0630 Cyg"                    ,"323.74583333","40.67166667" ,"35.901770140533834"  ,"293.17816124786054"
"V0632 Cyg"                    ,"324.01666667","40.43861111" ,"38.2348750273836"    ,"290.62871566532795"
"V0751 Cyg"                    ,"313.05000000","44.32388889" ,"16.79887251573774"   ,"40.07523114296389"
"V0795 Cyg"                    ,"293.64166667","31.53638889" ,"-9.02872429502699"   ,"351.90622062901605"
"V0811 Cyg"                    ,"297.09583333","36.43972222" ,"11.188182039515318"  ,"314.0573578733135"
"V1016 Cyg"                    ,"299.27083333","39.82666667" ,"31.130892709286066"  ,"296.4670430683599"
"V1028 Cyg"                    ,"300.23333333","56.94333333" ,"48.13335520604772"   ,"309.0925275271679"
"V1251 Cyg"                    ,"325.22500000","48.66194444" ,"53.47007536361812"   ,"291.6984672013417"
"V1454 Cyg"                    ,"298.40833333","35.36250000" ,"20.614055395731402"  ,"300.6495795313358"
"V1500 Cyg"                    ,"317.90000000","48.15055556" ,"7.825379609398991"   ,"351.1110604532141"
"V1668 Cyg"                    ,"325.64583333","44.03166667" ,"55.51593911371652"   ,"281.327953061274"
"V1819 Cyg"                    ,"298.65416667","35.70444444" ,"22.960884835195014"  ,"298.6023397816324"
"HR Del"                       ,"310.58333333","19.16083333" ,"18.52448078575454"   ,"81.82628136332337"
"AB Dra"                       ,"297.27500000","77.73972222" ,"42.54610891070833"   ,"344.99992097985523"
"AG Dra"                       ,"240.42083333","66.80277778" ,"36.92444103054821"   ,"27.37159767285383"
"DO Dra"                       ,"175.90833333","71.68888889" ,"34.52098778365807"   ,"344.8142517623933"
"AH Her"                       ,"251.04166667","25.25055556" ,"19.02468066171365"   ,"286.9251316946139"
"AM Her"                       ,"274.05416667","49.86777778" ,"28.144247493647978"  ,"314.93206429623814"
"CH Her"                       ,"278.69166667","24.80027778" ,"53.63414587805038"   ,"241.0540512017343"
"DQ Her"                       ,"271.87500000","45.85888889" ,"11.9375438168586"    ,"331.02315595640016"
"V0443 Her"                    ,"275.52916667","23.45555556" ,"22.39951049501024"   ,"280.4913058649076"
"V0446 Her"                    ,"284.33750000","13.24138889" ,"35.791684613361454"  ,"113.51542149746287"
"V0533 Her"                    ,"273.58333333","41.85611111" ,"18.942183293250928"  ,"312.8829186408301"
"YY Her"                       ,"273.64166667","20.98888889" ,"3.1361137579559015"  ,"298.9310926868569"
"CP Lac"                       ,"333.92083333","55.61694444" ,"46.685169849504"     ,"52.14972015502705"
"AY Lyr"                       ,"281.10833333","37.99750000" ,"78.9519570348576"    ,"174.27727526698814"
"CY Lyr"                       ,"283.17083333","26.75861111" ,"56.59544322460561"   ,"119.85472118267565"
"DM Lyr"                       ,"284.68333333","30.25916667" ,"44.84741715293665"   ,"93.4912443707945"
"LL Lyr"                       ,"278.80000000","38.33444444" ,"63.9675712986972"    ,"258.40125193910137"
"MV Lyr"                       ,"286.81666667","44.01888889" ,"33.299562113898816"  ,"59.22760294932589"
"V0344 Lyr"                    ,"281.16250000","43.37416667" ,"84.17198417222468"   ,"164.0356280583249"
"RS Oph"                       ,"267.55416667","-5.29222222" ,"-42.50335958473799"  ,"30.283133094528708"
"V0426 Oph"                    ,"271.96250000","5.86305556"  ,"-23.002129789758786" ,"311.10997274448187"
"AG Peg"                       ,"327.75416667","12.62555556" ,"50.40411777011174"   ,"209.7689887034855"
"EF Peg"                       ,"318.76666667","14.06361111" ,"-22.786622629422208" ,"332.2516679696668"
"IP Peg"                       ,"350.78333333","18.41638889" ,"49.250871953281475"  ,"233.31655201864942"
"RU Peg"                       ,"333.50833333","12.70305556" ,"24.331619488288883"  ,"98.76144623743001"
"AX Per"                       ,"24.09166667" ,"54.25055556" ,"30.39506462693335"   ,"40.589993761324834"
"FO Per"                       ,"62.14166667" ,"51.24666667" ,"62.668473638646795"  ,"291.29417380085505"
"GK Per"                       ,"52.80000000" ,"43.90416667" ,"2.947395237153686"   ,"2.333705551608884"
"KT Per"                       ,"24.28333333" ,"50.95555556" ,"26.840339224745072"  ,"41.87123047580982"
"TZ Per"                       ,"33.45833333" ,"58.38111111" ,"30.417321858691192"  ,"326.0748620227721"
"UV Per"                       ,"32.53333333" ,"57.18916667" ,"24.783942752640577"  ,"331.62917998657554"
"UW Per"                       ,"33.12083333" ,"57.08861111" ,"27.640261144501885"  ,"327.35696942315894"
"TY Psc"                       ,"21.41250000" ,"32.38555556" ,"39.049866684747805"  ,"83.22000237715766"
"U Sco"                        ,"245.62500000","-16.12166667","-56.286550769991585" ,"344.0427502381398"
"LX Ser"                       ,"234.50000000","18.86750000" ,"54.94313894568682"   ,"141.3776950528609"
"MU Ser"                       ,"268.96666667","-13.97861111","-54.97337393535859"  ,"1.2436464614747273"
"UZ Ser"                       ,"272.85000000","-13.07388889","-30.927169182507782" ,"286.6950006718336"
"AW Sge"                       ,"299.65416667","16.69111111" ,"18.742331581140462"  ,"274.12726601736273"
"HM Sge"                       ,"295.48750000","16.74416667" ,"-16.486992869727533" ,"322.98097665034214"
"RZ Sge"                       ,"300.82500000","17.04777778" ,"30.4890944306277"    ,"260.86533829700335"
"WZ Sge"                       ,"301.90000000","17.70388889" ,"41.13624902297578"   ,"247.08493210488302"
"FN Sgr"                       ,"283.47500000","-17.00555556","16.3225711953287"    ,"143.263558889323"
"BC UMa"                       ,"178.06250000","49.24472222" ,"27.769905711017028"  ,"314.3607718230736"
"BZ UMa"                       ,"133.43333333","57.81111111" ,"57.71871660631188"   ,"306.4634522046608"
"CH UMa"                       ,"151.75000000","67.54638889" ,"30.559086653066753"  ,"343.07777268237857"
"CI UMa"                       ,"154.55416667","71.92888889" ,"43.864197023054054"  ,"334.7160693614708"
"CY UMa"                       ,"164.23333333","49.68833333" ,"59.09685476214951"   ,"70.04951050939054"
"DI UMa"                       ,"138.06666667","50.89833333" ,"79.70086413904055"   ,"73.4159411944586"
"SU UMa"                       ,"123.11666667","62.60611111" ,"23.876538608553357"  ,"13.885276162368802"
