MAIN_ID
V* V922 Cep
V* V957 Cep
V* V958 Per
V* V1112 Cas
V* V1141 Cas
V* V1160 Cas
V* V1162 Cas
V* V1177 Cas
V* V1287 Tau
HD 348698
V* V1356 Tau
V* V1719 Aql
V* V2541 Cyg
V* V2544 Cyg
LS III +43   20
V* V2636 Oph
V* V2638 Oph
V* V2642 Oph
V* V2647 Cyg
V* RU And
V* ST And
V* R Aql
V* RR Aql
V* R Aqr
V* RS Aqr
V* S Aur
V* Z Aur
V* V Boo
V* T CVn
V* V CVn
V* R Cap
V* S Cas
V* Z Cas
V* SV Cas
V* S Cep
V* V CrB
V* RS Cyg
V* RZ Cyg
V* LX Cyg
V* Y Del
V* T Dra
V* W Dra
V* RS Lac
V* U LMi
V* S Lyr
V* U Lyr
V* RU Lyr
V* RV Peg
V* W Tau
V* RX UMa
V* T UMi
V* RU Vir
V* SS Vir
V* RU Vul
V* R And
V* W And
V* S Aql
V* V Aql
V* R Ari
V* T Ari
V* X Aur
V* R Aur
V* S Boo
V* R Boo
V* RX Boo
V* X Cam
V* R Cam
V* T Cam
V* U Cam
V* W Cas
V* WZ Cas
V* R Cas
V* T Cas
V* V Cas
V* AR Cep
V* SS Cep
V* T Cep
* omi Cet
V* S CrB
V* R CVn
V* Y CVn
V* RU Cyg
V* TU Cyg
V* TZ Cyg
V* Z Cyg
V* AF Cyg
* chi Cyg
V* R Cyg
V* RT Cyg
V* U Cyg
V* V Cyg
V* W Cyg
V* WX Cyg
V* S Del
V* EU Del
V* U Del
V* R Dra
V* RY Dra
V* TX Dra
V* SX Her
V* W Her
* alf Her
* g Her
V* RS Her
V* RU Her
V* S Her
V* T Her
V* U Her
V* X Her
V* W Lyr
*  13 Lyr
V* X Oph
V* R Peg
V* W Peg
* rho Per
V* U Per
V* W Per
V* Y Per
V* S Per
V* R Ser
V* R Tri
V* RS UMa
V* S UMa
V* R UMa
V* RY UMa
V* ST UMa
V* T UMa
V* VW UMa
V* VY UMa
V* Z UMa
V* S UMi
V* U UMi
V* R Vir
V* S Vir
V* R Vul
V* T Cet
V* Y Cyg
V* V2487 Oph
HD 193793                       305.11658 43.85453  HD 193793
TYC 3162-665-1
V* RR Lyr
V* V2492 Cyg
* eps Aur
* P Cyg
V* AG Peg
V* AG Dra
V* R Aqr
V* CH Cyg
V* AG Dra
V* AG Dra
V* AG Dra
V* AG Dra
V* CH Cyg
V* CH Cyg
V* CH Cyg
V* AG Peg
V* AG Peg
V* AG Peg
V* AG Peg
TYC 3162-665-1
TYC 3162-665-1
TYC 3162-665-1
V* R Aqr
V* R Aqr
V* R Aqr
V* R Aqr
V* RW Aur
V* RW Aur
V* RW Aur
V* RW Aur
HD 193793                       305.11658 43.85453  HD 193793
HD 193793                       305.11658 43.85453  HD 193793
HD 193793                       305.11658 43.85453  HD 193793
HD 193793                       305.11658 43.85453  HD 193793
V* V2487 Oph
V* V2492 Cyg
V* V2492 Cyg
V* V2492 Cyg
V* V2492 Cyg
* eps Aur
* eps Aur
* eps Aur
* eps Aur
V* RW Aur
NAME Barnard's star
V* CH Cyg
V* V1117 Her
V* V1117 Her
V* V1117 Her
V* V1117 Her
V* V404 Cyg
V* VV Cep
V* VV Cep
V* VV Cep
V* FO Aqr
V* FO Aqr
NOVA Aql 1917
NOVA Aql 1917
NOVA Aql 1917
V* R Aqr
V* R Aqr
V* R Aqr
V* ST Tri
MASTER OT J132104.04+560957.8
V* TT Ari
V* TT Ari
V* TT Ari
V* AK Cep
V* BW Cyg
* b Per
NAME AT 2018pp
NAME AT 2018pp
NAME AT 2018pp
V* SU UMa
V* SU UMa
V* SU UMa
V* SU UMa
V* SU UMa
V* SU UMa
V* SU UMa
V* SU UMa
V* CR Boo
V* CR Boo
V* CR Boo
V* CR Boo
V* CR Boo
