"name"                         ,"ra"          ,"dec"         ,"alt"                 ,"az"
"CH Her"                       ,"278.69166667","24.80027778" ,"29.736970303817284"  ,"274.54145198453455"
"DQ Her"                       ,"271.87500000","45.85888889" ,"4.970662946789144"   ,"356.30692346285844"
"V0443 Her"                    ,"275.52916667","23.45555556" ,"0.0219015488187328"  ,"307.3203091582527"
"V0446 Her"                    ,"284.33750000","13.24138889" ,"52.845170667026544"  ,"160.0464896657453"
"V0533 Her"                    ,"273.58333333","41.85611111" ,"4.838607237244137"   ,"337.41850243621326"
"YY Her"                       ,"273.64166667","20.98888889" ,"-14.497139370702055" ,"329.47040962396204"
"CP Lac"                       ,"333.92083333","55.61694444" ,"67.32090769749779"   ,"59.357686822120435"
"AY Lyr"                       ,"281.10833333","37.99750000" ,"61.853831803071635"  ,"260.7331945812098"
"CY Lyr"                       ,"283.17083333","26.75861111" ,"67.3859271257534"    ,"192.32852619143753"
"DM Lyr"                       ,"284.68333333","30.25916667" ,"67.07504831479298"   ,"138.42919705491303"
"LL Lyr"                       ,"278.80000000","38.33444444" ,"39.57031377615072"   ,"286.01026425752957"
"MV Lyr"                       ,"286.81666667","44.01888889" ,"56.242025573712404"  ,"79.34020362563939"
"V0344 Lyr"                    ,"281.16250000","43.37416667" ,"65.09648166630994"   ,"270.4613711933681"
"RS Oph"                       ,"267.55416667","-5.29222222" ,"-23.6353297730948"   ,"69.51480861526514"
"V0426 Oph"                    ,"271.96250000","5.86305556"  ,"-34.83454143143395"  ,"351.9936873176682"
"AG Peg"                       ,"327.75416667","12.62555556" ,"31.202946397919444"  ,"252.10634485332957"
"EF Peg"                       ,"318.76666667","14.06361111" ,"-26.140954586679516" ,"12.265202966995783"
"IP Peg"                       ,"350.78333333","18.41638889" ,"26.115030133812848"  ,"268.4160085750989"
"RU Peg"                       ,"333.50833333","12.70305556" ,"46.17043886037107"   ,"135.58998713750745"
"AX Per"                       ,"24.09166667" ,"54.25055556" ,"48.82974964745227"   ,"55.68560083683879"
"FO Per"                       ,"62.14166667" ,"51.24666667" ,"40.90687931688216"   ,"305.1754400961044"
"GK Per"                       ,"52.80000000" ,"43.90416667" ,"9.540103999720246"   ,"28.53928462824577"
"KT Per"                       ,"24.28333333" ,"50.95555556" ,"45.88018746632724"   ,"59.05372577318249"
"TZ Per"                       ,"33.45833333" ,"58.38111111" ,"19.99620106599438"   ,"344.28882353950877"
"UV Per"                       ,"32.53333333" ,"57.18916667" ,"16.928851377716068"  ,"351.48071371119863"
"UW Per"                       ,"33.12083333" ,"57.08861111" ,"17.93130840709688"   ,"346.5824824240122"
"TY Psc"                       ,"21.41250000" ,"32.38555556" ,"63.101170900936935"  ,"117.58462510020365"
"U Sco"                        ,"245.62500000","-16.12166667","-49.786289604612655" ,"45.16530962455477"
"LX Ser"                       ,"234.50000000","18.86750000" ,"57.432126424044085"  ,"207.70960916525712"
"MU Ser"                       ,"268.96666667","-13.97861111","-42.973235483384784" ,"55.354063315653285"
"UZ Ser"                       ,"272.85000000","-13.07388889","-50.49512948759468"  ,"328.56750240548956"
"AW Sge"                       ,"299.65416667","16.69111111" ,"-4.503011916289898"  ,"301.9876185010029"
"HM Sge"                       ,"295.48750000","16.74416667" ,"-24.254171403352515" ,"0.5521665696732397"
"RZ Sge"                       ,"300.82500000","17.04777778" ,"6.1625452844089565"  ,"288.9808385505057"
"WZ Sge"                       ,"301.90000000","17.70388889" ,"16.927676584155165"  ,"277.7238517254088"
"FN Sgr"                       ,"283.47500000","-17.00555556","23.991396139062086"  ,"180.74652989497517"
"BC UMa"                       ,"178.06250000","49.24472222" ,"13.571154714215297"  ,"335.5195529684179"
"BZ UMa"                       ,"133.43333333","57.81111111" ,"39.09041707048507"   ,"316.67284338570084"
"CH UMa"                       ,"151.75000000","67.54638889" ,"26.57483695064732"   ,"358.5436916622834"
"CI UMa"                       ,"154.55416667","71.92888889" ,"35.083942520474366"  ,"344.32070118933564"
"CY UMa"                       ,"164.23333333","49.68833333" ,"83.02563767875132"   ,"80.30786201879498"
"DI UMa"                       ,"138.06666667","50.89833333" ,"75.87316167443203"   ,"286.00239898596556"
"SU UMa"                       ,"123.11666667","62.60611111" ,"33.21132513449148"   ,"30.180974421602247"
"SW UMa"                       ,"129.17500000","53.47694444" ,"14.596920603821685"  ,"345.0584917731756"
"SS UMi"                       ,"237.84166667","71.75305556" ,"62.3091353809938"    ,"22.607511179541508"
"HV Vir"                       ,"200.26250000","1.89111111"  ,"-38.208964593812446" ,"345.8261685146713"
"LV Vul"                       ,"297.00000000","27.17194444" ,"-11.296709348051888" ,"339.9876258677975"
